"titleBasicsId";"titleType";"primaryTitle";"originalTitle";"isAdult";"startYear";"endYear";"runTimeMinutes";"genres"
18991;"movie";"Hello Cheyenne";"Hello Cheyenne";0;"1928";"";80;""
18992;"movie";"Hellship Bronson";"Hellship Bronson";0;"1928";"";70;""
18993;"movie";"Her Wild Oat";"Her Wild Oat";0;"1927";"";70;""
18994;"movie";"Strauss, the Waltz King";"Heut' spielt der Strauss";0;"1928";"";0;""
18995;"movie";"Hey Rube!";"Hey Rube!";0;"1928";"";0;""
18996;"movie";"High Treason";"High Treason";0;"1929";"";95;""
18997;"short";"High Up";"High Up";0;"1928";"";0;""
18998;"short";"Couple on the Move";"Hikkoshi fûfu";0;"1928";"";41;""
18999;"movie";"His House in Order";"His House in Order";0;"1928";"";72;""
19000;"movie";"His Last Battle";"His Last Battle";0;"1928";"";0;""
19001;"movie";"His Last Haul";"His Last Haul";0;"1928";"";0;""
19002;"short";"His New Stenographer";"His New Stenographer";0;"1928";"";20;""
19003;"movie";"His Private Life";"His Private Life";0;"1928";"";50;""
19004;"movie";"His Tiger Wife";"His Tiger Wife";0;"1928";"";50;""
19005;"short";"His Unlucky Night";"His Unlucky Night";0;"1928";"";20;""
19006;"movie";"Hit of the Show";"Hit of the Show";0;"1928";"";72;""
19007;"movie";"Hito no isshô - Jinsei banji kane no maki: Dai ippen";"Hito no isshô - Jinsei banji kane no maki: Dai ippen";0;"1928";"";0;""
19008;"movie";"Man's Worldly Appearance";"Hito no yo no sugata";0;"1928";"";0;""
19009;"movie";"Hold 'Em Yale";"Hold 'Em Yale";0;"1928";"";80;""
19010;"short";"Hollywood Bound";"Hollywood Bound";0;"1928";"";9;""
19011;"short";"Hollywood Today No. 4";"Hollywood Today No. 4";0;"1928";"";0;""
19012;"movie";"The Home Towners";"The Home Towners";0;"1928";"";0;""
19013;"movie";"Home, James";"Home, James";0;"1928";"";70;""
19014;"short";"Homeless Homer";"Homeless Homer";0;"1929";"";0;""
19015;"movie";"Homesick";"Homesick";0;"1928";"";0;""
19016;"movie";"Honeymoon";"Honeymoon";0;"1928";"";60;""
19017;"movie";"Honeymoon Flats";"Honeymoon Flats";0;"1928";"";0;""
19018;"movie";"Honor Bound";"Honor Bound";0;"1928";"";70;""
19019;"movie";"Die Horde";"Die Horde";0;"1926";"";0;""
19020;"short";"A Horse Tale";"A Horse Tale";0;"1928";"";0;""
19021;"movie";"Horseman of the Plains";"Horseman of the Plains";0;"1928";"";0;""
19022;"short";"Hot Dog";"Hot Dog";0;"1928";"";6;""
19023;"movie";"Hot Heels";"Hot Heels";0;"1927";"";60;""
19024;"movie";"Hot News";"Hot News";0;"1928";"";70;""
19025;"movie";"The Hound of Silver Creek";"The Hound of Silver Creek";0;"1928";"";0;""
19026;"movie";"Dom v sugrobakh";"Dom v sugrobakh";0;"1928";"";49;""
19027;"movie";"The House of Scandal";"The House of Scandal";0;"1928";"";0;""
19028;"movie";"How to Handle Women";"How to Handle Women";0;"1928";"";60;""
19029;"short";"How to Please the Public";"How to Please the Public";0;"1928";"";0;""
19030;"movie";"Hrích";"Hrích";0;"1929";"";0;""
19031;"short";"Hubby's Latest Alibi";"Hubby's Latest Alibi";0;"1928";"";0;""
19032;"short";"Hubby's Weekend Trip";"Hubby's Weekend Trip";0;"1928";"";0;""
19033;"short";"Hungry Hoboes";"Hungry Hoboes";0;"1928";"";6;""
19034;"movie";"Mati samepo";"Mati samepo";0;"1928";"";20;""
19035;"movie";"Interference";"Interference";0;"1928";"";0;""
19036;"movie";"Into No Man's Land";"Into No Man's Land";0;"1928";"";0;""
19037;"movie";"Into the Night";"Into the Night";0;"1928";"";0;""
19038;"movie";"The Warning";"The Warning";0;"1928";"";0;""
19039;"movie";"Isle of Lost Men";"Isle of Lost Men";0;"1928";"";0;""
19040;"movie";"Janssons frestelse";"Janssons frestelse";0;"1928";"";104;""
19041;"movie";"Jazz Mad";"Jazz Mad";0;"1928";"";70;""
19042;"movie";"Jazzland";"Jazzland";0;"1928";"";0;""
19043;"movie";"Crossroads";"Jûjiro";0;"1928";"";81;""
19044;"movie";"Just Married";"Just Married";0;"1928";"";60;""
19045;"short";"Pumpkin";"Kabocha";0;"1928";"";43;""
19046;"movie";"Kaikokuki";"Kaikokuki";0;"1928";"";120;""
19047;"movie";"Kaitô Samimaro";"Kaitô Samimaro";0;"1928";"";0;""
19048;"movie";"Kami eno michi";"Kami eno michi";0;"1928";"";0;""
19049;"movie";"Fight of the Tertia";"Der Kampf der Tertia";0;"1929";"";0;""
19050;"movie";"Fight for the Matterhorn";"Der Kampf ums Matterhorn";0;"1928";"";117;""
19051;"movie";"Penal Servitude";"Katorga";0;"1928";"";0;""
19052;"movie";"Kyôrakû hîcho";"Kyôrakû hîcho";0;"1928";"";60;""
19053;"movie";"Kif Tebbi";"Kif Tebbi";0;"1928";"";0;""
19054;"movie";"Kinder der Straße";"Kinder der Straße";0;"1929";"";0;""
19055;"movie";"King Cowboy";"King Cowboy";0;"1928";"";0;""
19056;"movie";"Kit Carson";"Kit Carson";0;"1928";"";84;""
19057;"movie";"A Knight in London";"A Knight in London";0;"1928";"";0;""
19058;"movie";"Kraft og skønhed";"Kraft og skønhed";0;"1927";"";123;""
19059;"movie";"Krischa Mira";"Krischa Mira";0;"1928";"";0;""
19060;"movie";"Kruzheva";"Kruzheva";0;"1928";"";75;""
19061;"movie";"Kukla s millionami";"Kukla s millionami";0;"1928";"";69;""
19062;"movie";"Ladies of the Mob";"Ladies of the Mob";0;"1928";"";70;""
19063;"movie";"Ladies of the Night Club";"Ladies of the Night Club";0;"1928";"";70;""
19064;"movie";"Ladies' Night in a Turkish Bath";"Ladies' Night in a Turkish Bath";0;"1928";"";70;""
19065;"movie";"Lady Be Good";"Lady Be Good";0;"1928";"";70;""
19066;"movie";"Lady Raffles";"Lady Raffles";0;"1928";"";57;""
19067;"movie";"A Lady of Chance";"A Lady of Chance";0;"1928";"";78;""
19068;"short";"The Lady of Victories";"The Lady of Victories";0;"1928";"";0;""
19069;"movie";"Die Lampelgasse";"Die Lampelgasse";0;"1928";"";0;""
19070;"movie";"Land of the Silver Fox";"Land of the Silver Fox";0;"1928";"";58;""
19071;"movie";"The Last Command";"The Last Command";0;"1928";"";88;""
19072;"movie";"The Last Moment";"The Last Moment";0;"1928";"";60;""
19073;"movie";"The Latest from Paris";"The Latest from Paris";0;"1928";"";80;""
19074;"movie";"Laugh, Clown, Laugh";"Laugh, Clown, Laugh";0;"1928";"";73;""
19075;"movie";"The Law and the Man";"The Law and the Man";0;"1928";"";0;""
19076;"movie";"The Law of the Mounted";"The Law of the Mounted";0;"1928";"";0;""
19077;"movie";"The Law of the Range";"The Law of the Range";0;"1928";"";60;""
19078;"short";"Leaping Luck";"Leaping Luck";0;"1928";"";0;""
